title,authors,abstract
A mapping-free NLP-based technique for sequence search in Nanopore long-reads,"Authors:Tomasz Strzoda,Lourdes Cruz-Garcia,Mustafa Najim,Christophe Badie,Joanna Polanska","Abstract:…salmon-estimated read counts differed from the classical approach on average by 3.48% for the complete dictionary and by 5.82% for the reduced one. We conclude that for longOxfordNanopore reads, an NLP-based approach can successfully replace classical mapping in case of emergency. The developed NLP model can be easily retrained to identify selected transcr…▽ MoreIn unforeseen situations, such as nuclear power plant's or civilian radiation accidents, there is a need for effective and computationally inexpensive methods to determine the expression level of a selected gene panel, allowing for rough dose estimates in thousands of donors. The new generation in-situ mapper, fast and of low energy consumption, working at the level of single nanopore output, is in demand. We aim to create a sequence identification tool that utilizes Natural Language Processing (NLP) techniques and ensures a high level of negative predictive value (NPV) compared to the classical approach. The training dataset consisted of RNASeq data from 6 samples. Having tested multiple NLP models, the best configuration analyses the entire sequence and uses a word length of 3 base pairs with one-word neighbor on each side. For the considered FDXR gene, the achieved mean balanced accuracy (BACC) was 98.29% and NPV 99.25%, compared to minimap2's performance in a cross-validation scenario. Reducing the dictionary from 1024 to 145 changed BACC to 96.49% and the NPV to 98.15%. Obtained NLP model, validated on an external independent genome sequencing dataset, gave NPV of 99.64% for complete and 95.87% for reduced dictionary. The salmon-estimated read counts differed from the classical approach on average by 3.48% for the complete dictionary and by 5.82% for the reduced one. We conclude that for longOxfordNanopore reads, an NLP-based approach can successfully replace classical mapping in case of emergency. The developed NLP model can be easily retrained to identify selected transcripts and/or work with various long-read sequencing techniques. Our results of the study clearly demonstrate the potential of applying techniques known from classical text processing to nucleotide sequences and represent a significant advancement in this field of science.△ Less"
Galaxy-group-associated distances to Very High Energy gamma-ray emitting BL Lacs KUV 00311-1938 and S2 0109+22,"Authors:Karri I. I. Koljonen,Elina Lindfors,Kari Nilsson,Pekka Heinämäki,Jari Kotilainen","Abstract:Blazars constitute the most numerous source class in the known extragalactic population of very high energy (VHE) gamma-ray sources. However, determining their redshifts is often challenging due to weak or non-existent emission lines in their spectra. This study focuses on two BL Lacs, KUV 00311-1938 and S2 0109+22, where previous attempts at redshift determination have faced difficulties. By comb…▽ MoreBlazars constitute the most numerous source class in the known extragalactic population of very high energy (VHE) gamma-ray sources. However, determining their redshifts is often challenging due to weak or non-existent emission lines in their spectra. This study focuses on two BL Lacs, KUV 00311-1938 and S2 0109+22, where previous attempts at redshift determination have faced difficulties. By combining spectroscopic observations with photometric redshift estimates, we tentatively assign a redshift of z = 0.634 to KUV 00311-1938 and a likely redshift of z = 0.49 to S2 0109+22. Establishing redshift estimates for high-redshift blazars is crucial for understanding extragalactic VHE gamma-ray sources and their interactions with the surrounding universe.△ Less"
Making AI Intelligible: Philosophical Foundations,"Authors:Herman Cappelen,Josh Dever","Abstract:Can humans and artificial intelligences share concepts and communicate? 'Making AI Intelligible' shows that philosophical work on the metaphysics of meaning can help answer these questions. Herman Cappelen and Josh Dever use the externalist tradition in philosophy to create models of how AIs and humans can understand each other. In doing so, they illustrate ways in which that philosophical traditi…▽ MoreCan humans and artificial intelligences share concepts and communicate? 'Making AI Intelligible' shows that philosophical work on the metaphysics of meaning can help answer these questions. Herman Cappelen and Josh Dever use the externalist tradition in philosophy to create models of how AIs and humans can understand each other. In doing so, they illustrate ways in which that philosophical tradition can be improved.
  The questions addressed in the book are not only theoretically interesting, but the answers have pressing practical implications. Many important decisions about human life are now influenced by AI. In giving that power to AI, we presuppose that AIs can track features of the world that we care about (for example, creditworthiness, recidivism, cancer, and combatants). If AIs can share our concepts, that will go some way towards justifying this reliance on AI. This ground-breaking study offers insight into how to take some first steps towards achieving Interpretable AI.△ Less"
Fundamental effective temperature measurements for eclipsing binary stars -- V. The circumbinary planet system EBLM J0608-59,"Authors:P. F. L. Maxted,N. J. Miller,D. Sebastian,A. H. M. J. Triaud,D. V. Martin,A. Duck","Abstract:EBLM J0608-59 / TOI-1338 / BEBOP-1 is a 12th-magnitude, F9V star in an eclipsing binary with a much fainter M-dwarf companion on a wide, eccentric orbit (P=14.6 d). The binary is orbited by two circumbinary planets: one transiting on a 95-day orbit and one non-transiting on a 215-day orbit. We have used high-precision photometry from the TESS mission combined with direct mass measurements for the…▽ MoreEBLM J0608-59 / TOI-1338 / BEBOP-1 is a 12th-magnitude, F9V star in an eclipsing binary with a much fainter M-dwarf companion on a wide, eccentric orbit (P=14.6 d). The binary is orbited by two circumbinary planets: one transiting on a 95-day orbit and one non-transiting on a 215-day orbit. We have used high-precision photometry from the TESS mission combined with direct mass measurements for the two stars published recently to measure the following model-independent radii:R1=1.32±0.02R⊙,R2=0.309±0.004R⊙. UsingR1and the parallax from Gaia EDR3 we find that this star's angular diameter isθ=0.0309±0.0005mas. The apparent bolometric flux of the primary star corrected for both extinction and the contribution from the M-dwarf (<0.4%) isF⊕,0=(0.417±0.005)×10−9ergcm−2s−1. Hence, this F9V star has an effective temperatureTeff,1=6031K±46K(rnd.)±10K(sys.). EBLM J0608-59 is an ideal benchmark star that can be added to the sample of such systems we are establishing for ""end-to-end"" tests of the stellar parameters measured by large-scale spectroscopic surveys.△ Less"
TheOxfordOlympics Study 2024: Are Cost and Cost Overrun at the Games Coming Down?,"Authors:Alexander Budzier,Bent Flyvbjerg","Abstract:The present paper is an update of the ""OxfordOlympics Study 2016"" (Flyvbjerg et al. 2016). We document that the Games remain costly and continue to have large cost overruns, to a degree that threatens their viability. The IOC is aware of the problem and has initiated reform. We assess the reforms and find: (a) Olympic costs are statistically signifi…▽ MoreThe present paper is an update of the ""OxfordOlympics Study 2016"" (Flyvbjerg et al. 2016). We document that the Games remain costly and continue to have large cost overruns, to a degree that threatens their viability. The IOC is aware of the problem and has initiated reform. We assess the reforms and find: (a) Olympic costs are statistically significantly increasing; prior analysis did not show this trend; it is a step in the wrong direction. (b) Cost overruns were decreasing until 2008, but have increased since then; again a step in the wrong direction. (c) At present, the cost of Paris 2024 is USD 8.7 billion (2022 level) and cost overruns is 115% in real terms; this is not the cheap Games that were promised. (d) Cost overruns are the norm for the Games, past, present, and future; they are the only project type that never delivered on budget. We assess a new IOC policy of reducing cost by reusing existing venues instead of building new ones. We find that reuse did not have the desired effect for Tokyo 2020 and also look ineffective for Paris 2024. Finally, we recommend that the Games look to other types of megaprojects for better data, better forecasting, and how to generate the positive learning curves that are necessary for bringing costs and overrun down. Only if this happens are Los Angeles 2028 and Brisbane 2032 likely to live up to the IOC's intentions of a more affordable Games that more cities will want to host.△ Less"
Extending Structural Causal Models for Use in Autonomous Embodied Systems,"Authors:Rhys Howard,Lars Kunze","Abstract:Much work has been done to develop causal reasoning techniques across a number of domains, however the utilisation of causality within autonomous systems is still in its infancy. Autonomous systems would greatly benefit from the integration of causality through the use of representations such as structural causal models (SCMs). The system would be afforded a higher level of transparency, it would…▽ MoreMuch work has been done to develop causal reasoning techniques across a number of domains, however the utilisation of causality within autonomous systems is still in its infancy. Autonomous systems would greatly benefit from the integration of causality through the use of representations such as structural causal models (SCMs). The system would be afforded a higher level of transparency, it would enable post-hoc explanations of outcomes, and assist in the online inference of exogenous variables. These qualities are either directly beneficial to the autonomous system or a valuable step in building public trust and informing regulation. To such an end we present a case study in which we describe a module-based autonomous driving system comprised of SCMs. Approaching this task requires considerations of a number of challenges when dealing with a system of great complexity and size, that must operate for extended periods of time by itself. Here we describe these challenges, and present solutions. The first of these is SCM contexts, with the remainder being three new variable categories -- two of which are based upon functional programming monads. Finally, we conclude by presenting an example application of the causal capabilities of the autonomous driving system. In this example, we aim to attribute culpability between vehicular agents in a hypothetical road collision incident.△ Less"
AI with Alien Content and Alien Metasemantics,"Authors:Herman Cappelen,Josh Dever","Abstract:AlphaGo plays chess and Go in a creative and novel way. It is natural for us to attribute contents to it, such as that it doesn't view being several pawns behind, if it has more board space, as bad. The framework introduced in Cappelen and Dever (2021) provides a way of thinking about the semantics and the metasemantics of AI content: does AlphaGo entertain contents like this, and if so, in virtue…▽ MoreAlphaGo plays chess and Go in a creative and novel way. It is natural for us to attribute contents to it, such as that it doesn't view being several pawns behind, if it has more board space, as bad. The framework introduced in Cappelen and Dever (2021) provides a way of thinking about the semantics and the metasemantics of AI content: does AlphaGo entertain contents like this, and if so, in virtue of what does a given state of the program mean that particular content? One salient question Cappelen and Dever didn't consider was the possibility of alien content. Alien content is content that is not or cannot be expressed by human beings. It's highly plausible that AlphaGo, or any other sophisticated AI system, expresses alien contents. That this is so, moreover, is plausibly a metasemantic fact: a fact that has to do with how AI comes to entertain content in the first place, one that will heed the vastly different etiology of AI and human content. This chapter explores the question of alien content in AI from a semantic and metasemantic perspective. It lays out the logical space of possible responses to the semantic and metasemantic questions alien content poses, considers whether and how we humans could communicate with entities who express alien content, and points out that getting clear about such questions might be important for more 'applied' issues in the philosophy of AI, such as existential risk and XAI.△ Less"
AdapNet: Adaptive Noise-Based Network for Low-Quality Image Retrieval,"Authors:Sihe Zhang,Qingdong He,Jinlong Peng,Yuxi Li,Zhengkai Jiang,Jiafu Wu,Mingmin Chi,Yabiao Wang,Chengjie Wang","Abstract:…To assess the performance, we construct two datasets with low-quality queries, which is built by applying various types of noise on clean query images on the standard RevisitedOxfordand Revisited Paris datasets. Comprehensive experimental results illustrate that AdapNet surpasses state-of-the-art methods on the Noise Revisited…▽ MoreImage retrieval aims to identify visually similar images within a database using a given query image. Traditional methods typically employ both global and local features extracted from images for matching, and may also apply re-ranking techniques to enhance accuracy. However, these methods often fail to account for the noise present in query images, which can stem from natural or human-induced factors, thereby negatively impacting retrieval performance. To mitigate this issue, we introduce a novel setting for low-quality image retrieval, and propose an Adaptive Noise-Based Network (AdapNet) to learn robust abstract representations. Specifically, we devise a quality compensation block trained to compensate for various low-quality factors in input images. Besides, we introduce an innovative adaptive noise-based loss function, which dynamically adjusts its focus on the gradient in accordance with image quality, thereby augmenting the learning of unknown noisy samples during training and enhancing intra-class compactness. To assess the performance, we construct two datasets with low-quality queries, which is built by applying various types of noise on clean query images on the standard RevisitedOxfordand Revisited Paris datasets. Comprehensive experimental results illustrate that AdapNet surpasses state-of-the-art methods on the Noise RevisitedOxfordand Noise Revisited Paris benchmarks, while maintaining competitive performance on high-quality datasets. The code and constructed datasets will be made available.△ Less"
Scalable Bayesian Inference for Bradley--Terry Models with Ties: An Application to Honour Based Abuse,"Authors:Rowland G Seymour,Fabian Hernandez","Abstract:…efficient Markov Chain Monte Carlo algorithm to fit the model, allowing for a wide range of prior distributions on the model parameters. Working with South Yorkshire Police andOxfordAgainst Cutting, we mapped the risk of honour based abuse at community level in two counties in the UK.▽ MoreHonour based abuse covers a wide range of family abuse including female genital mutilation and forced marriage. Safeguarding professionals need to identify where abuses are happening in their local community to best support those at risk of these crimes and take preventative action. However, there is little local data about these kinds of crime. To tackle this problem, we ran comparative judgement surveys to map abuses at local level. In previous comparative judgement studies, participants reported fatigue associated with comparisons between areas with similar levels of abuse. Allowing for ties reduces fatigue, but increase the computational complexity when fitting the model. We designed an efficient Markov Chain Monte Carlo algorithm to fit the model, allowing for a wide range of prior distributions on the model parameters. Working with South Yorkshire Police andOxfordAgainst Cutting, we mapped the risk of honour based abuse at community level in two counties in the UK.△ Less"
Dusk Till Dawn: Self-supervised Nighttime Stereo Depth Estimation using Visual Foundation Models,"Authors:Madhu Vankadari,Samuel Hodgson,Sangyun Shin,Kaichen Zhou Andrew Markham,Niki Trigoni","Abstract:…weaknesses in the evaluation of current depth estimation algorithms, we present novel evaluation metrics. Our experiments, conducted on challenging datasets includingOxfordRobotCar and Multi-Spectral Stereo, demonstrate the robust improvements realized by our approach. Code is available at: https://github.com/madhubabuv/dtd▽ MoreSelf-supervised depth estimation algorithms rely heavily on frame-warping relationships, exhibiting substantial performance degradation when applied in challenging circumstances, such as low-visibility and nighttime scenarios with varying illumination conditions. Addressing this challenge, we introduce an algorithm designed to achieve accurate self-supervised stereo depth estimation focusing on nighttime conditions. Specifically, we use pretrained visual foundation models to extract generalised features across challenging scenes and present an efficient method for matching and integrating these features from stereo frames. Moreover, to prevent pixels violating photometric consistency assumption from negatively affecting the depth predictions, we propose a novel masking approach designed to filter out such pixels. Lastly, addressing weaknesses in the evaluation of current depth estimation algorithms, we present novel evaluation metrics. Our experiments, conducted on challenging datasets includingOxfordRobotCar and Multi-Spectral Stereo, demonstrate the robust improvements realized by our approach. Code is available at: https://github.com/madhubabuv/dtd△ Less"
Compared influence of the Atlantic Multidecadal Variability and of spring soil moisture on summer heat waves in Europe,"Authors:Valeria Mascolo,Clément Le Priol,Fabio D'Andrea,Freddy Bouchet","Abstract:In this work, we study and compare the influence of the Atlantic Multidecadal Variability (AMV) and of spring soil moisture in Southern Europe on the duration and intensity of European summer heat waves. We study common heat waves with return times of a few years like in previous studies, but we also propose a new methodological approach, return time maps, that allows us to study rare heat waves w…▽ MoreIn this work, we study and compare the influence of the Atlantic Multidecadal Variability (AMV) and of spring soil moisture in Southern Europe on the duration and intensity of European summer heat waves. We study common heat waves with return times of a few years like in previous studies, but we also propose a new methodological approach, return time maps, that allows us to study rare heat waves with return times from 10 to 50 years. We use the outputs from three climate models, namely IPSL-CM6A-LR, EC-Earth3, and CNRM-CM6-1, in which North Atlantic sea surface temperatures are restored towards the observed AMV anomalies. The three models give consistent results, with the exception of EC-Earth simulating a much greater influence of soil moisture. Typical AMV or spring soil moisture anomalies induce changes in the temperature and duration of heat waves that are of comparable amplitude, but follow different regional patterns. As might be expected, a positive AMV phase or low soil moisture induces hotter and longer typical heat waves over most of Europe. However, counter-intuitively, they also induce less heat wave days and cooler heat waves over part of Northeast Europe. For more extreme events, the influence of the AMV and soil moisture increase, according to rather similar regional patterns as for typical heat waves. However, while the amplitude of the influence is greater, the regions with decreased heat wave temperature and less heat wave days extend in size.△ Less"
